frame.time_epoch,ip.src,ip.dst,frame.len,tcp.port,udp.port,ip.proto,frame.time_delta,tcp.flags,ip.len,icmp.type,tcp.stream,tcp.seq,tcp.ack,ip.flags.df,tcp.window_size,ip.ttl,tcp.analysis.flags,http.request.uri,http.response.code,anomaly
1762618218.268269000,172.17.19.207,57.144.211.33,128,57042.0,,6,,0x0018,114,,0,1,1,True,251,128,,,,-1
1762618218.456853000,172.17.16.150,255.255.255.255,82,,61047.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618218.456853000,172.17.16.150,172.17.23.255,82,,61048.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618218.562961000,172.17.19.207,192.34.20.166,54,59282.0,,6,0.000161000,0x0010,40,,1,1,3018,True,255,128,,,,-1
1762618218.563007000,172.17.19.207,192.34.20.166,54,58481.0,,6,0.000046000,0x0010,40,,2,1,1,True,255,128,,,,-1
1762618218.563015000,172.17.19.207,192.34.20.166,54,57889.0,,6,0.000008000,0x0010,40,,3,1,3033,True,255,128,,,,-1
1762618218.563313000,172.17.19.207,192.34.20.166,400,59282.0,,6,0.000298000,0x0018,386,,1,1,3018,True,255,128,,,,-1
1762618218.563362000,172.17.19.207,192.34.20.166,452,59282.0,,6,0.000049000,0x0018,438,,1,347,3018,True,255,128,,,,-1
1762618218.563562000,172.17.19.207,192.34.20.166,1537,58481.0,,6,0.000200000,0x0018,1523,,2,1,1,True,255,128,,,,-1
1762618218.659372000,172.17.21.224,239.255.255.250,213,,60086.0,17,0.000376000,,199,,,,,False,,1,,*,,-1
1762618218.660103000,172.17.16.150,255.255.255.255,82,,61047.0,17,0.000168000,,68,,,,,False,,128,,,,-1
1762618218.660283000,172.17.16.150,172.17.23.255,82,,61048.0,17,0.000180000,,68,,,,,False,,128,,,,-1
1762618218.661125000,172.17.23.136,224.0.0.252,75,,59249.0,17,0.000213000,,61,,,,,False,,1,,,,-1
1762618218.819465000,172.17.19.207,192.34.20.166,54,58481.0,,6,0.000097000,0x0010,40,,2,1484,4235,True,255,128,,,,-1
1762618218.819522000,172.17.19.207,192.34.20.166,54,59282.0,,6,0.000057000,0x0010,40,,1,745,4760,True,255,128,,,,-1
1762618218.821926000,172.17.19.207,192.34.20.166,134,58481.0,,6,0.000163000,0x0018,120,,2,1484,4235,True,255,128,,,,-1
1762618218.822020000,172.17.19.207,192.34.20.166,78,58481.0,,6,0.000094000,0x0018,64,,2,1564,4235,True,255,128,,,,-1
1762618218.822060000,172.17.19.207,192.34.20.166,54,58481.0,,6,0.000040000,0x0011,40,,2,1588,4235,True,255,128,,,,-1
1762618218.864130000,172.17.16.150,172.17.23.255,82,,61048.0,17,0.000406000,,68,,,,,False,,128,,,,-1
1762618218.864195000,172.17.16.150,255.255.255.255,82,,61047.0,17,0.000065000,,68,,,,,False,,128,,,,-1
1762618218.865138000,172.17.19.207,192.34.20.166,54,59282.0,,6,0.000444000,0x0010,40,,1,745,6053,True,250,128,,,,-1
1762618219.066430000,172.17.19.207,192.34.20.166,54,58481.0,,6,0.000138000,0x0014,40,,2,1589,4314,True,0,128,,,,-1
1762618219.068974000,172.17.16.150,255.255.255.255,82,,61047.0,17,0.000470000,,68,,,,,False,,128,,,,-1
1762618219.068974000,172.17.16.150,172.17.23.255,82,,61048.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618219.147694000,172.17.19.207,52.123.171.9,54,50434.0,,6,0.000047000,0x0011,40,,5,1,47,True,255,128,,,,-1
1762618219.147817000,172.17.19.207,52.123.171.9,54,50434.0,,6,0.000123000,0x0010,40,,5,2,48,True,255,128,,,,-1
1762618219.276805000,172.17.16.182,239.255.255.250,179,,64226.0,17,0.000432000,,165,,,,,False,,4,,*,,-1
1762618219.277162000,172.17.23.136,224.0.0.252,75,,59249.0,17,0.000099000,,61,,,,,False,,1,,,,-1
1762618219.277503000,172.17.16.150,172.17.23.255,82,,61048.0,17,0.000226000,,68,,,,,False,,128,,,,-1
1762618219.277503000,172.17.16.150,255.255.255.255,82,,61047.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618219.421076000,172.17.19.207,172.17.16.1,92,,55666.0,17,0.141203000,,78,,,,,False,,128,,,,-1
1762618219.426875000,172.17.19.207,52.182.141.63,66,58496.0,,6,0.000857000,0x0002,52,,6,0,0,True,65535,128,,,,-1
1762618219.478025000,172.17.22.160,239.255.255.250,143,,62594.0,17,0.000192000,,129,,,,,False,,4,,*,,-1
1762618219.479196000,172.17.20.157,239.255.255.250,167,,51563.0,17,0.000462000,,153,,,,,False,,255,,*,,-1
1762618219.479196000,172.17.16.150,255.255.255.255,82,,61047.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618219.479196000,172.17.16.150,172.17.23.255,82,,61048.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618219.479546000,172.17.23.136,224.0.0.252,75,,61162.0,17,0.000350000,,61,,,,,False,,1,,,,-1
1762618219.479879000,172.17.17.104,224.0.0.251,110,,59177.0,17,0.000191000,,96,,,,,False,,1,,,,-1
1762618219.683142000,172.17.21.224,239.255.255.250,213,,60086.0,17,0.000000000,,199,,,,,False,,1,,*,,-1
1762618219.686372000,172.17.16.150,255.255.255.255,82,,61047.0,17,0.000031000,,68,,,,,False,,128,,,,-1
1762618219.686492000,172.17.16.150,172.17.23.255,82,,61048.0,17,0.000120000,,68,,,,,False,,128,,,,-1
1762618219.686789000,172.17.19.207,52.182.141.63,54,58496.0,,6,0.000185000,0x0010,40,,6,1,1,True,65280,128,,,,-1
1762618219.687523000,172.17.19.207,52.182.141.63,571,58496.0,,6,0.000734000,0x0018,557,,6,1,1,True,65280,128,,,,-1
1762618219.706424000,172.17.19.207,104.208.16.91,166,62632.0,,6,0.018901000,0x0018,152,,7,1,1,True,254,128,,,,-1
1762618219.706557000,172.17.19.207,104.208.16.91,93,62632.0,,6,0.000133000,0x0018,79,,7,113,1,True,254,128,,,,-1
1762618219.706605000,172.17.19.207,104.208.16.91,2259,62632.0,,6,0.000048000,0x0018,2245,,7,152,1,True,254,128,,,,-1
1762618219.888060000,172.17.16.150,172.17.23.255,82,,61048.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618219.888060000,172.17.16.150,255.255.255.255,82,,61047.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618219.888965000,172.17.17.104,224.0.0.251,86,,59177.0,17,0.000000000,,72,,,,,False,,1,,,,-1
1762618219.991559000,172.17.19.207,52.182.141.63,491,58496.0,,6,0.000960000,0x0018,477,,6,518,100,True,65280,128,,,,-1
1762618220.045163000,172.17.19.207,104.208.16.91,54,62632.0,,6,0.002974000,0x0010,40,,7,2357,40,True,254,128,,,,-1
1762618220.095777000,172.17.23.136,224.0.0.252,75,,61162.0,17,0.000000000,,61,,,,,False,,1,,,,-1
1762618220.095777000,172.17.20.157,172.17.23.255,86,,57621.0,17,0.000000000,,72,,,,,False,,128,,,,-1
1762618220.095777000,172.17.16.150,255.255.255.255,82,,61047.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618220.095777000,172.17.16.150,172.17.23.255,82,,61048.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618220.095777000,172.17.22.181,172.17.23.255,86,,57621.0,17,0.000000000,,72,,,,,False,,64,,,,-1
1762618220.299318000,172.17.16.150,172.17.23.255,82,,61048.0,17,0.000333000,,68,,,,,False,,128,,,,-1
1762618220.299318000,172.17.16.150,255.255.255.255,82,,61047.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618220.299964000,172.17.23.136,224.0.0.252,75,,51387.0,17,0.000000000,,61,,,,,False,,1,,,,-1
1762618220.305100000,172.17.19.207,52.182.141.63,54,58496.0,,6,0.000094000,0x0010,40,,6,955,4590,True,65280,128,,,,-1
1762618220.305788000,172.17.19.207,104.208.16.91,89,62632.0,,6,0.000688000,0x0018,75,,7,2357,134,True,254,128,,,,-1
1762618220.306862000,172.17.19.207,52.182.141.63,2139,58496.0,,6,0.001074000,0x0018,2125,,6,955,4590,True,65280,128,,,,-1
