frame.time_epoch,ip.src,ip.dst,frame.len,tcp.port,udp.port,ip.proto,frame.time_delta,tcp.flags,ip.len,icmp.type,tcp.stream,tcp.seq,tcp.ack,ip.flags.df,tcp.window_size,ip.ttl,tcp.analysis.flags,http.request.uri,http.response.code
"1762682114.612572000",,,"60",,,,,,,,,,,,,,,,
"1762682114.612572000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1762682114.612572000","172.17.17.156","172.17.23.255","82",,"64503,1947","17","0.000000000",,"68",,,,,"False",,"128",,,
"1762682114.612572000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1762682114.612572000","172.17.21.242","172.17.23.255","82",,"50364,1947","17","0.000000000",,"68",,,,,"False",,"128",,,
"1762682114.612572000","172.17.21.242","255.255.255.255","82",,"50365,1947","17","0.000000000",,"68",,,,,"False",,"128",,,
"1762682114.612572000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1762682114.612572000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1762682114.612572000","172.17.22.226","224.0.0.251","75",,"5353,5353","17","0.000000000",,"61",,,,,"False",,"1",,,
"1762682114.612572000",,,"95",,"5353,5353",,"0.000000000",,,,,,,,,,,,
"1762682114.612572000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1762682114.612572000","172.17.22.226","224.0.0.251","77",,"5353,5353","17","0.000000000",,"63",,,,,"False",,"1",,,
"1762682114.612572000",,,"97",,"5353,5353",,"0.000000000",,,,,,,,,,,,
"1762682114.612572000","172.17.22.226","224.0.0.251","75",,"5353,5353","17","0.000000000",,"61",,,,,"False",,"1",,,
"1762682114.612572000",,,"95",,"5353,5353",,"0.000000000",,,,,,,,,,,,
"1762682114.612572000","172.17.22.226","224.0.0.251","78",,"5353,5353","17","0.000000000",,"64",,,,,"False",,"1",,,
"1762682114.612572000",,,"98",,"5353,5353",,"0.000000000",,,,,,,,,,,,
"1762682114.612572000","172.17.22.226","224.0.0.251","76",,"5353,5353","17","0.000000000",,"62",,,,,"False",,"1",,,
"1762682114.612572000",,,"96",,"5353,5353",,"0.000000000",,,,,,,,,,,,
"1762682114.612572000",,,"56",,,,"0.000000000",,,,,,,,,,,,
"1762682114.612572000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1762682114.612572000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1762682114.612572000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1762682114.812281000",,,"60",,,,"0.199709000",,,,,,,,,,,,
"1762682114.812281000",,,"56",,,,"0.000000000",,,,,,,,,,,,
"1762682114.812281000",,,"60",,,,"0.000000000",,,,,,,,,,,,
"1762682114.812281000","172.17.17.156","172.17.23.255","82",,"64503,1947","17","0.000000000",,"68",,,,,"False",,"128",,,
"1762682114.812281000",,,"56",,,,"0.000000000",,,,,,,,,,,,
"1762682114.969798000","172.17.19.207","172.17.16.1","92",,"64483,53","17","0.157517000",,"78",,,,,"False",,"128",,,
"1762682114.975315000","172.17.16.1","172.17.19.207","212",,"53,64483","17","0.005517000",,"198",,,,,"False",,"64",,,
